firm_id,year,quarter,permno,qdate,crsp_mktcap,r1000_dummy,russell_index,rank_mktcap,cutoff_running_rank,distance_to_cutoff,distance_to_cutoff_sq,atq,saleq,seqq,cheq,leverage,cf,rd_intensity,sales_growth,log_analyst_coverage,BM,net_income_q,ROA,ROE,cash_ratio,stock_return_volatility,passive_pct_float,xrdq_change,sic2_1,sic2_10,sic2_13,sic2_14,sic2_25,sic2_26,sic2_27,sic2_28,sic2_29,sic2_30,sic2_32,sic2_33,sic2_34,sic2_35,sic2_36,sic2_37,sic2_38,sic2_39,sic2_48,sic2_49,sic2_50,sic2_51,sic2_59,sic2_73,sic2_78,sic2_79,sic2_80,sic2_82,sic2_87,sic2_99,year_1996,year_1997,year_1998,year_1999,year_2000,year_2001,year_2002,year_2003,year_2004,year_2005,year_2006,year_2007,year_2008,year_2009,year_2010,year_2011,year_2012,year_2013,year_2014,year_2015,year_2016,year_2017,year_2018,year_2019
1,2001,2,10001,2001-06-28,23972.794067185114,0,R2000,83,1083,83,6889,7857.035855740731,2932.9566446082667,4834.466806890864,214.5634848194479,0.39224506309308865,148.61834934929507,0.13294710284996397,-0.07334119574430148,1.791759469228055,0.9240073642850507,-13.564595735846469,-0.0017264266047526712,-0.0028058100877871397,0.027308451782446355,0.1392495305944926,0.11273072822491217,-0.037213712375715025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2004,1,10001,2004-03-28,21831.617366069884,0,R2000,222,1222,222,49284,11842.44518035536,3236.945140233209,6456.6188032001455,4056.17229661497,0.08328129551698848,-1064.871261486147,0.1207962937975372,-0.2674175692349541,1.0986122886681098,0.9573125105195334,-127.16432118759673,-0.010738012230661714,-0.019695188002204694,0.34251138467108827,0.1679992336172852,0.14639630516542823,-0.1427522094777338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2007,3,10001,2007-09-28,16904.316591461342,0,R2000,60,1060,60,3600,6007.596855812474,3859.0334458678153,3189.837296900731,1806.767881159737,0.22050636211866867,656.6887294448093,0.11657313423403436,-0.1429407414390156,2.1972245773362196,1.181303676147204,-88.68078906848477,-0.014761441421070769,-0.027801038364761634,0.3007471913518384,0.19663544958737375,0.14743508497046387,-0.13463762057408815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,2015,3,10001,2015-09-28,20904.15689602713,0,R2000,162,1162,162,26244,13235.637008328626,2256.9899245850925,4588.712969573398,3927.200364202289,0.48537013675980856,1491.9436594766817,0.1062099921645815,-0.10418434122984371,1.6094379124341003,1.0290180463141665,528.6752934010033,0.03994332067797948,0.11521210781901509,0.2967141182348132,0.09914041268043901,0.20569080631961975,-0.2099067037586602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,2017,2,10001,2017-06-28,25699.815705069326,0,R2000,245,1245,245,60025,9013.980788182997,3967.467988716334,3220.5206476196586,1790.9428779924956,0.13443705910501852,-556.3316726518109,0.1072940148524926,-0.15183869783569576,2.0794415416798357,1.2635894573609046,604.3100292053111,0.06704141526433469,0.1876435816835911,0.1986850116588175,0.09419882946247661,0.2703679600514974,-0.025891653027801734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,2017,4,10001,2017-12-28,27516.228423747896,1,R1000,903,903,-97,9409,11313.35156448947,1888.1463018941374,4017.320929934251,1922.850913892917,0.08270535457997832,840.803877122676,0.11487725246129776,-0.1890208383556623,1.791759469228055,0.5654470322737636,969.4634137021984,0.08569197272585126,0.24132087792101414,0.16996297718957062,0.1645717638592666,0.11916248862993555,-0.0894888890028606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,2018,3,10001,2018-09-28,26163.510334629624,1,R1000,992,992,-8,64,7687.31076967612,4928.133952123367,3299.7661172704316,2289.0011618382287,0.21065880454520858,927.6196186491316,0.12571444364420162,0.03000572601748236,2.1972245773362196,0.41244795744206525,179.65389739004715,0.023370187933434657,0.054444433637210916,0.29776357824215666,0.11879282978067918,0.15700773967085263,-0.02962497680445836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2,1998,2,10002,1998-06-28,1488.3373633739852,1,R1000,817,817,-183,33489,498.76272923055376,101.97405947105129,334.02784130564703,26.94189447937518,0.3493676376703967,106.36777251085823,0.015752300692831407,-0.12000954759492924,1.791759469228055,1.4706377491393618,-11.064361124982657,-0.02218361653055303,-0.033124068585823015,0.05401745740091428,0.096892889125814,0,0.09606302259105937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1999,1,10002,1999-03-28,1970.4433028728765,0,R2000,42,1042,42,1764,720.925866044728,311.9003385751306,381.615336187103,141.009338713629,0.1793253647684334,82.45418318578089,0.016799507684974332,-0.19230410029599676,2.1972245773362196,0.5820907008599321,17.45781679817273,0.024215828035069564,0.04574715726207947,0.19559478353476145,0.09413445837084754,0.07681304026894976,0.11931001999660996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1999,2,10002,1999-06-28,2507.176840032485,0,R2000,17,1017,17,289,717.365021485463,405.21845978330424,524.1728049387286,176.3208288834642,0.23678429745859433,-3.0799934321446476,0.011478203343097758,-0.28032371912012566,2.0794415416798357,1.328775755411503,-57.481018284490695,-0.08012799141706621,-0.1096604359152317,0.24578955427510657,0.34125884854758953,0.048403111413392506,-0.07007194924752293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
